freq,product,nrg_cons,unit,tax,currency,geo\TIME_PERIOD	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 
S,6000,MWH500-1999,KWH,I_TAX,EUR,SE	0.0840 	0.0888 	0.1227 	0.1401 	0.1907 	0.1336 	0.1126 	0.1177 	0.1066 	0.1205 
S,6000,MWH500-1999,KWH,I_TAX,EUR,SI	0.1190 	0.1123 	0.1219 	0.1933 	0.2239 	0.2469 	0.2497 	0.2105 	0.2199 	0.1897 
S,6000,MWH500-1999,KWH,I_TAX,EUR,SK	0.1579 	0.1530 	0.1614 	0.2592 	0.2915 	0.3224 	0.2796 	0.2260 	0.2473 	0.2341 
S,6000,MWH500-1999,KWH,I_TAX,EUR,TR	0.0758 	0.0784 	0.0869 	0.1394 	0.2300 	0.1655 	0.1193 	0.1086 	0.1167 	0.1083 
S,6000,MWH500-1999,KWH,I_TAX,EUR,UA	0.0669 	0.0714 	: 	: 	: 	: 	: 	: 	: 	: 
S,6000,MWH500-1999,KWH,I_TAX,EUR,XK	0.0734 	0.0727 	0.0730 	0.0724 	0.0730 	0.0789 	0.0848 	0.0833 	0.0820 	: 
S,6000,MWH500-1999,KWH,I_TAX,NAC,AL	15.3960 e	15.3720 e	15.3720 e	15.3700 	15.3700 	15.3720 e	15.3720 e	15.3720 	15.3720 e	16.8000 
S,6000,MWH500-1999,KWH,I_TAX,NAC,AT	0.1421 	0.1474 	0.1534 	0.1940 	0.2143 e	0.3117 e	0.2965 e	0.2384 e	0.2407 e	0.2434 e
S,6000,MWH500-1999,KWH,I_TAX,NAC,BA	0.1671 	0.1710 	0.1656 	0.1695 	0.2042 	0.2082 	0.2066 	0.2188 	0.2179 	0.2520 
S,6000,MWH500-1999,KWH,I_TAX,NAC,BE	0.1426 	0.1464 	0.1732 	0.2349 	0.2863 	0.2743 	0.2619 	0.2153 	0.2197 	0.2348 
S,6000,MWH500-1999,KWH,I_TAX,NAC,BG	0.1978 	0.2258 	0.3670 	0.4075 	0.4209 	0.3503 	0.3196 	0.2665 	0.3103 	0.2984 
S,6000,MWH500-1999,KWH,I_TAX,NAC,CY	0.1608 	0.1786 	0.2298 	0.2921 	0.3739 	0.3262 	0.3261 	0.2893 	0.3041 	0.2736 
S,6000,MWH500-1999,KWH,I_TAX,NAC,CZ	2.7074 	2.7629 	2.6227 	4.6920 	5.2420 	5.6584 	5.2921 	5.6005 	5.9187 	5.5798 
S,6000,MWH500-1999,KWH,I_TAX,NAC,DE	0.2181 	0.2239 	0.2298 	0.2616 	0.2524 	0.2691 	0.2671 	0.2798 	0.2834 	0.2745 
S,6000,MWH500-1999,KWH,I_TAX,NAC,DK	1.7487 	1.8611 	2.2019 	2.6199 	3.0417 	1.2511 	1.9568 	1.9300 	2.1385 	2.0429 
S,6000,MWH500-1999,KWH,I_TAX,NAC,EE	0.1048 	0.1148 	0.1831 	0.1950 	0.3103 	0.1880 	0.1884 	0.1743 	0.1811 	0.1751 
S,6000,MWH500-1999,KWH,I_TAX,NAC,EL	0.1120 	0.1243 	0.2371 	0.2447 	0.2602 	0.2015 	0.1941 	0.1642 	0.2124 	0.2084 
S,6000,MWH500-1999,KWH,I_TAX,NAC,ES	0.1422 	0.1300 	0.1705 	0.2255 	0.2598 	0.1912 	0.1837 	0.1629 	0.1703 	0.1692 
S,6000,MWH500-1999,KWH,I_TAX,NAC,FI	0.0941 	0.0838 	0.0992 	0.1002 	0.1399 	0.1187 	0.1097 	0.1078 	0.0983 	0.1009 
S,6000,MWH500-1999,KWH,I_TAX,NAC,FR	0.1142 	0.1255 	0.1207 	0.1514 	0.1486 	0.3010 	0.2535 	0.2137 	0.2122 	0.1938 
S,6000,MWH500-1999,KWH,I_TAX,NAC,GE	0.1933 	0.3365 	0.2811 	: 	0.3161 	0.3076 	0.3044 	0.2808 	0.2814 	0.3068 
S,6000,MWH500-1999,KWH,I_TAX,NAC,HR	0.8718 	0.8742 	0.9684 	1.3237 	2.0380 	0.3312 	0.2638 	0.2616 	0.2600 	0.2618 
S,6000,MWH500-1999,KWH,I_TAX,NAC,HU	41.6634 	40.9569 	46.8264 	79.6972 	115.8680 	147.9490 	130.2054 	110.6066 	114.6509 	106.9644 
S,6000,MWH500-1999,KWH,I_TAX,NAC,IE	0.1513 	0.1705 	0.2123 	0.2417 	0.3119 	0.3070 	0.2798 	0.2778 	0.2772 	0.2955 
S,6000,MWH500-1999,KWH,I_TAX,NAC,IS	12.8600 e	8.3765 e	13.3300 e	13.2100 e	14.2600 e	14.7500 e	14.6400 e	16.0500 e	17.8700 e	: 
S,6000,MWH500-1999,KWH,I_TAX,NAC,IT	0.1753 	0.1837 	0.2142 	0.2949 	0.3925 	0.2819 	0.2645 	0.2417 	0.2641 	0.2706 
S,6000,MWH500-1999,KWH,I_TAX,NAC,LI	0.1207 	0.1179 	0.1284 	0.1561 	0.1641 	0.3454 	0.2621 	0.2125 	0.1935 	0.2173 
S,6000,MWH500-1999,KWH,I_TAX,NAC,LT	0.1242 	0.1266 	0.1689 	0.2182 	0.3990 	0.2018 	0.1958 	0.2043 	0.1985 	0.1932 
S,6000,MWH500-1999,KWH,I_TAX,NAC,LU	0.1020 	0.1037 	0.1058 	0.1404 	0.1638 	0.2664 	0.2511 	0.2217 	0.2209 	0.1922 
S,6000,MWH500-1999,KWH,I_TAX,NAC,LV	0.1276 	0.1224 	0.1635 	0.1512 	0.2609 	0.1773 	0.1836 	0.1778 	0.1767 	0.1663 
S,6000,MWH500-1999,KWH,I_TAX,NAC,MD	1.7177 	1.6127 	1.5673 	1.8384 	3.5023 	3.4875 	2.5397 	2.2800 	2.2449 	3.9535 
S,6000,MWH500-1999,KWH,I_TAX,NAC,ME	0.0784 	0.1043 	0.0792 	0.1026 	0.1036 	0.1037 	0.0984 	0.1026 	0.1023 	0.1047 p
S,6000,MWH500-1999,KWH,I_TAX,NAC,MK	5.5011 	5.4729 	8.9062 	12.2613 	23.3550 	12.2906 	8.4779 	7.3044 	10.5788 	9.2013 
S,6000,MWH500-1999,KWH,I_TAX,NAC,MT	0.1409 	0.1412 	0.1471 	0.1414 	0.1415 	0.1482 	0.1482 	0.1479 	0.1413 	0.1415 p
S,6000,MWH500-1999,KWH,I_TAX,NAC,NL	0.1318 	0.1434 	0.1568 	0.2145 	0.2028 	0.2962 	0.2635 	0.2533 	0.2547 	0.2476 
S,6000,MWH500-1999,KWH,I_TAX,NAC,NO	0.6465 	1.0311 	1.5227 	1.8302 	2.7223 	1.6145 	1.1855 	1.2584 	1.0053 	1.1952 
S,6000,MWH500-1999,KWH,I_TAX,NAC,PL	0.5926 	0.6092 	0.6232 	0.7762 	0.8678 	1.2129 	1.1622 	1.1063 	1.1096 	1.0385 
S,6000,MWH500-1999,KWH,I_TAX,NAC,PT	0.1354 	0.1294 	0.1433 	0.1459 	0.1661 	0.1162 	0.1416 	0.1403 	0.1626 	0.1607 
S,6000,MWH500-1999,KWH,I_TAX,NAC,RO	0.5892 	0.5783 	0.7600 	1.3812 d	2.0904 d	1.0460 	1.0140 	0.9467 	0.9883 	1.0236 
S,6000,MWH500-1999,KWH,I_TAX,NAC,RS	11.2246 	11.2221 	12.3179 	13.6000 	16.4744 	19.4527 	20.9446 	21.4995 	18.6363 	19.7592 
S,6000,MWH500-1999,KWH,I_TAX,NAC,SE	0.8670 	0.8998 	1.2470 	1.4681 	2.0550 	1.5145 	1.3084 	1.3411 	1.2235 	1.3365 
S,6000,MWH500-1999,KWH,I_TAX,NAC,SI	0.1190 	0.1123 	0.1219 	0.1933 	0.2239 	0.2469 	0.2497 	0.2105 	0.2199 	0.1897 
S,6000,MWH500-1999,KWH,I_TAX,NAC,SK	0.1579 	0.1530 	0.1614 	0.2592 	0.2915 	0.3224 	0.2796 	0.2260 	0.2473 	0.2341 
S,6000,MWH500-1999,KWH,I_TAX,NAC,TR	0.6772 	0.7462 	0.9951 	2.2671 	4.2648 	3.5744 	3.5694 	3.7183 	4.3016 	4.4507 
S,6000,MWH500-1999,KWH,I_TAX,NAC,UA	2.2073 	2.3916 	: 	: 	: 	: 	: 	: 	: 	: 
S,6000,MWH500-1999,KWH,I_TAX,NAC,XK	0.0734 	0.0727 	0.0730 	0.0724 	0.0730 	0.0789 	0.0848 	0.0833 	0.0820 	: 
S,6000,MWH500-1999,KWH,I_TAX,PPS,AL	0.2421 e	0.2388 e	0.2388 e	0.2398 	0.2398 	0.2412 e	0.2416 e	0.2443 	0.2457 e	0.2703 
S,6000,MWH500-1999,KWH,I_TAX,PPS,AT	0.1243 	0.1289 	0.1328 	0.1680 	0.1879 e	0.2776 e	0.2641 e	0.2105 e	0.2124 e	0.2120 e
S,6000,MWH500-1999,KWH,I_TAX,PPS,BA	0.1668 	0.1707 	0.1628 	0.1666 	0.2005 	0.1957 	0.1909 	0.2052 	0.2030 	0.2184 
S,6000,MWH500-1999,KWH,I_TAX,PPS,BE	0.1278 	0.1312 	0.1556 	0.2114 	0.2577 	0.2464 	0.2340 	0.1919 	0.1946 	0.2091 
S,6000,MWH500-1999,KWH,I_TAX,PPS,BG	0.1877 	0.2143 	0.3400 	0.3775 	0.3881 	0.2971 	0.2711 	0.2257 	0.2628 	0.2487 
S,6000,MWH500-1999,KWH,I_TAX,PPS,CY	0.1755 	0.1950 	0.2506 	0.3186 	0.4126 	0.3566 	0.3577 	0.3220 	0.3339 	0.2996 
S,6000,MWH500-1999,KWH,I_TAX,PPS,CZ	0.1414 	0.1443 	0.1355 	0.2424 	0.2727 	0.2848 	0.2670 	0.2792 	0.2914 	0.2749 
S,6000,MWH500-1999,KWH,I_TAX,PPS,DE	0.1974 	0.2026 	0.2068 	0.2356 	0.2273 	0.2403 	0.2387 	0.2488 	0.2532 	0.2458 
S,6000,MWH500-1999,KWH,I_TAX,PPS,DK	0.1762 	0.1875 	0.2229 	0.2636 	0.3060 	0.1271 	0.1974 	0.1958 	0.2169 	0.2094 
S,6000,MWH500-1999,KWH,I_TAX,PPS,EA	0.1544 	0.1592 	0.1775 	0.2217 	0.2481 	0.2543 	0.2379 	0.2202 	0.2297 	0.2255 
S,6000,MWH500-1999,KWH,I_TAX,PPS,EE	0.1306 	0.1431 	0.2235 	0.2381 	0.3786 	0.2122 	0.2100 	0.1937 	0.1973 	0.1915 
S,6000,MWH500-1999,KWH,I_TAX,PPS,EL	0.1354 	0.1503 	0.2889 	0.2974 	0.3162 	0.2457 	0.2366 	0.2027 	0.2622 	0.2565 
S,6000,MWH500-1999,KWH,I_TAX,PPS,ES	0.1515 	0.1385 	0.1822 	0.2410 	0.2752 	0.2050 	0.1970 	0.1779 	0.1898 	0.1886 
S,6000,MWH500-1999,KWH,I_TAX,PPS,EU27_2020	0.1573 	0.1621 	0.1813 	0.2296 	0.2644 	0.2682 	0.2514 	0.2317 	0.2404 	0.2341 
S,6000,MWH500-1999,KWH,I_TAX,PPS,FI	0.0744 	0.0663 	0.0798 	0.0804 	0.1122 	0.0957 	0.0885 	0.0898 	0.0819 	0.0840 
S,6000,MWH500-1999,KWH,I_TAX,PPS,FR	0.1049 	0.1153 	0.1111 	0.1397 	0.1371 	0.2771 	0.2321 	0.1956 	0.1942 	0.1780 
S,6000,MWH500-1999,KWH,I_TAX,PPS,HR	0.1794 	0.1799 	0.1974 	0.2699 	0.4151 	0.4975 	0.3915 	0.3786 	0.3804 	0.3672 
S,6000,MWH500-1999,KWH,I_TAX,PPS,HU	0.1871 	0.1755 	0.2018 	0.3152 	0.4582 	0.5851 	0.5149 	0.4065 	0.4284 	0.3816 
S,6000,MWH500-1999,KWH,I_TAX,PPS,IE	0.1245 	0.1422 	0.1771 	0.2048 	0.2624 	0.2565 	0.2354 	0.2313 	0.2342 	0.2496 
S,6000,MWH500-1999,KWH,I_TAX,PPS,IS	0.0574 e	0.0374 e	0.0591 e	0.0585 e	0.0632 e	0.0672 e	0.0657 e	0.0716 e	0.0783 e	: 
S,6000,MWH500-1999,KWH,I_TAX,PPS,IT	0.1765 	0.1849 	0.2185 	0.3008 	0.4019 	0.2932 	0.2756 	0.2503 	0.2745 	0.2828 
S,6000,MWH500-1999,KWH,I_TAX,PPS,LT	0.1822 	0.1857 	0.2427 	0.3136 	0.5779 	0.2682 	0.2602 	0.2645 	0.2552 	0.2472 
S,6000,MWH500-1999,KWH,I_TAX,PPS,LU	0.0788 	0.0802 	0.0829 	0.1101 	0.1264 	0.2053 	0.1898 	0.1676 	0.1680 	0.1456 
S,6000,MWH500-1999,KWH,I_TAX,PPS,LV	0.1729 	0.1658 	0.2155 	0.1970 	0.3398 	0.2221 	0.2293 	0.2205 	0.2286 	0.2158 
S,6000,MWH500-1999,KWH,I_TAX,PPS,ME	0.1555 	0.2068 	0.1521 	0.1971 	0.2012 	0.1935 	0.1802 	0.1803 	0.1819 	0.1866 p
S,6000,MWH500-1999,KWH,I_TAX,PPS,MK	0.1942 	0.1932 	0.3041 	0.4187 	0.8142 	0.4173 	0.2902 	0.2450 	0.3392 	0.2950 
S,6000,MWH500-1999,KWH,I_TAX,PPS,MT	0.1607 	0.1610 	0.1666 	0.1619 	0.1597 	0.1652 	0.1652 	0.1629 	0.1556 	0.1556 p
S,6000,MWH500-1999,KWH,I_TAX,PPS,NL	0.1131 	0.1235 	0.1350 	0.1833 	0.1733 	0.2520 	0.2242 	0.2161 	0.2173 	0.2112 
S,6000,MWH500-1999,KWH,I_TAX,PPS,NO	0.0427 	0.0681 	0.1050 	0.1263 	0.1897 	0.1182 	0.0874 	0.0885 	0.0709 	0.0827 
S,6000,MWH500-1999,KWH,I_TAX,PPS,PL	0.2212 	0.2274 	0.2264 	0.2675 	0.2991 	0.4212 	0.4036 	0.3605 	0.3616 	0.3354 
S,6000,MWH500-1999,KWH,I_TAX,PPS,PT	0.1591 	0.1521 	0.1673 	0.1704 	0.1940 	0.1359 	0.1679 	0.1697 	0.1975 	0.1949 
S,6000,MWH500-1999,KWH,I_TAX,PPS,RO	0.2306 	0.2263 	0.2905 	0.5008 d	0.7580 d	0.3793 	0.3677 	0.3367 	0.3487 	0.3449 
S,6000,MWH500-1999,KWH,I_TAX,PPS,RS	0.1796 	0.1795 	0.1924 	0.2124 	0.2577 	0.2884 	0.3059 	0.2993 	0.2611 	0.2748 
S,6000,MWH500-1999,KWH,I_TAX,PPS,SE	0.0655 	0.0684 	0.0948 	0.1116 	0.1562 	0.1124 	0.0968 	0.0986 	0.0906 	0.0994 
S,6000,MWH500-1999,KWH,I_TAX,PPS,SI	0.1416 	0.1336 	0.1438 	0.2280 	0.2636 	0.2872 	0.2943 	0.2432 	0.2552 	0.2174 
S,6000,MWH500-1999,KWH,I_TAX,PPS,SK	0.1961 	0.1901 	0.1994 	0.3203 	0.3623 	0.3891 	0.3526 	0.2789 	0.3090 	0.2919 
S,6000,MWH500-1999,KWH,I_TAX,PPS,TR	0.2060 	0.2269 	0.2387 	0.5439 	0.5880 	0.4817 	0.4810 	0.3335 	0.2377 	0.2459 
S,6000,MWH500-1999,KWH,X_TAX,EUR,AL	0.1036 e	0.1039 e	0.1053 e	0.1057 	0.1097 	0.1135 e	0.1223 e	0.1252 	0.1292 e	0.1420 
S,6000,MWH500-1999,KWH,X_TAX,EUR,AT	0.0871 	0.0884 	0.0961 	0.1437 	0.1717 	0.2554 	0.2431 	0.1955 	0.1970 	0.1782 
S,6000,MWH500-1999,KWH,X_TAX,EUR,BA	0.0702 	0.0719 	0.0695 	0.0714 	0.0866 	0.0905 	0.0898 	0.0951 	0.0947 	0.1096 
S,6000,MWH500-1999,KWH,X_TAX,EUR,BE	0.0810 	0.0810 	0.1035 	0.1519 	0.2012 	0.1950 	0.1760 	0.1392 	0.1456 	0.1590 
S,6000,MWH500-1999,KWH,X_TAX,EUR,BG	0.0833 	0.0842 	0.1761 	0.2372 	0.3481 	0.1601 	0.1358 	0.1125 	0.1605 	0.1453 
S,6000,MWH500-1999,KWH,X_TAX,EUR,CY	0.1095 	0.1091 	0.1412 	0.1722 	0.2443 	0.1921 	0.1986 	0.1824 	0.1930 	0.1643 
S,6000,MWH500-1999,KWH,X_TAX,EUR,CZ	0.0713 	0.0739 	0.0758 	0.1444 	0.1769 	0.1962 	0.1786 	0.1654 	0.1744 	0.1647 
S,6000,MWH500-1999,KWH,X_TAX,EUR,DE	0.0885 	0.0908 	0.0967 	0.1512 	0.1782 	0.1904 	0.1890 	0.1976 	0.2010 	0.1828 
S,6000,MWH500-1999,KWH,X_TAX,EUR,DK	0.0615 	0.0725 	0.1150 	0.1595 	0.2264 	0.1325 	0.1157 	0.1042 	0.1265 	0.1226 
S,6000,MWH500-1999,KWH,X_TAX,EUR,EA	0.0846 	0.0892 	0.1067 	0.1657 	0.2036 	0.2034 	0.1857 	0.1645 	0.1698 	0.1614 
S,6000,MWH500-1999,KWH,X_TAX,EUR,EE	0.0750 	0.0834 	0.1403 	0.1502 	0.2463 	0.1433 	0.1447 	0.1313 	0.1365 	0.1335 
S,6000,MWH500-1999,KWH,X_TAX,EUR,EL	0.0805 	0.0890 	0.2013 	0.2830 	0.3925 	0.1627 	0.1546 	0.1274 	0.1715 	0.1685 
S,6000,MWH500-1999,KWH,X_TAX,EUR,ES	0.0882 	0.0931 	0.1115 	0.1769 	0.2064 	0.1522 	0.1470 	0.1217 	0.1280 	0.1240 
S,6000,MWH500-1999,KWH,X_TAX,EUR,EU27_2020	0.0826 	0.0863 	0.1036 	0.1593 	0.1987 	0.1938 	0.1767 	0.1575 	0.1629 	0.1560 
S,6000,MWH500-1999,KWH,X_TAX,EUR,FI	0.0689 	0.0669 	0.0793 	0.0802 	0.1144 	0.0951 	0.0879 	0.0863 d	0.0780 d	0.0797 
S,6000,MWH500-1999,KWH,X_TAX,EUR,FR	0.0754 	0.0850 	0.0810 	0.1203 	0.1237 	0.2506 	0.2107 	0.1639 	0.1591 	0.1372 
S,6000,MWH500-1999,KWH,X_TAX,EUR,GE	0.0435 	0.0713 	0.0657 	: 	0.0951 	0.0928 	0.0897 	0.0814 	0.0805 	0.0857 
S,6000,MWH500-1999,KWH,X_TAX,EUR,HR	0.0878 	0.0881 	0.0998 	0.1410 	0.2246 	0.2780 	0.2187 	0.2169 	0.2155 	0.2166 
S,6000,MWH500-1999,KWH,X_TAX,EUR,HU	0.0833 	0.0819 	0.0998 	0.1739 	0.2204 	0.2996 	0.2608 	0.2055 	0.2138 	0.1928 
S,6000,MWH500-1999,KWH,X_TAX,EUR,IE	0.1252 	0.1378 	0.1778 	0.2104 	0.2834 	0.2940 	0.2691 	0.2543 	0.2505 	0.2636 
S,6000,MWH500-1999,KWH,X_TAX,EUR,IS	0.0704 	0.0449 e	0.0704 e	0.0732 e	0.0775 e	0.0757 e	0.0778 e	0.0835 e	0.0944 e	: 
S,6000,MWH500-1999,KWH,X_TAX,EUR,IT	0.0878 	0.0939 	0.1403 	0.2354 	0.3257 	0.2031 	0.1771 	0.1515 	0.1660 	0.1774 
S,6000,MWH500-1999,KWH,X_TAX,EUR,LI	0.0895 	0.0863 	0.0976 	0.1260 	0.1405 	0.3102 	0.2384 	0.1889 	0.1738 	0.1976 
S,6000,MWH500-1999,KWH,X_TAX,EUR,LT	0.0901 	0.0932 	0.1294 	0.1758 	0.3294 	0.1741 	0.1688 	0.1684 	0.1636 	0.1598 
S,6000,MWH500-1999,KWH,X_TAX,EUR,LU	0.0832 	0.0836 	0.0855 	0.1230 	0.1441 	0.2477 	0.2332 	0.2041 	0.2018 	0.1763 
S,6000,MWH500-1999,KWH,X_TAX,EUR,LV	0.0839 	0.0849 	0.1191 	0.1467 	0.2292 	0.1685 	0.1495 	0.1451 	0.1446 	0.1354 
S,6000,MWH500-1999,KWH,X_TAX,EUR,MD	0.0718 	0.0633 	0.0640 	0.0761 	0.1495 	0.1465 	0.1098 	0.0989 	0.0975 	0.1695 
S,6000,MWH500-1999,KWH,X_TAX,EUR,ME	0.0513 	0.0773 	0.0527 	0.0762 	0.0761 	0.0768 	0.0764 	0.0800 	0.0799 	0.0817 p
S,6000,MWH500-1999,KWH,X_TAX,EUR,MK	0.0756 	0.0752 	0.1225 	0.1685 	0.3215 	0.1690 	0.1168 	0.1006 	0.1458 	0.1266 
S,6000,MWH500-1999,KWH,X_TAX,EUR,MT	0.1327 	0.1330 	0.1386 	0.1332 	0.1333 	0.1396 	0.1396 	0.1394 	0.1331 	0.1333 p
S,6000,MWH500-1999,KWH,X_TAX,EUR,NL	0.0752 	0.0777 	0.0937 	0.1391 	0.1517 	0.2004 	0.1788 	0.1658 	0.1711 	0.1633 
S,6000,MWH500-1999,KWH,X_TAX,EUR,NO	0.0392 	0.0715 	0.1104 	0.1369 	0.2035 	0.1055 	0.0738 	0.0791 	0.0601 	0.0737 
S,6000,MWH500-1999,KWH,X_TAX,EUR,PL	0.0784 	0.0731 	0.0685 	0.0988 	0.1115 	0.1404 	0.1380 	0.1271 	0.1325 	0.1295 
